from,to,tech,distance_km
S/E FPC,S/E CENTRAL ESCUADRON,66_kv,0.1
S/E SAG,S/E MOLINOS,66_kv,0.5
S/E DESALANT,S/E LA PORTADA,66_kv,1
S/E 403,S/E 640,69_kv,4.3
S/E 940,S/E 403,69_kv,1.6
S/E ESTE 6,S/E HAMBURGO,69_kv,4.4
S/E MONTURAQUI,S/E NEURARA,69_kv,14.1
S/E NEURARA,S/E ESCONDIDA,69_kv,60.7
S/E OLAP,S/E SULFUROS,69_kv,4.2
S/E 415,S/E LAGUNA SECA,66_kv,2.8
S/E 416,S/E 415,66_kv,6.0
S/E 418,S/E 416,66_kv,1.1
S/E ANDES (AES GENER),S/E NUEVA ZALDIVAR,66_kv,51.4
S/E ARMAZONES,S/E PARANAL,66_kv,42.4
S/E BOMBEO 2 (SGO),S/E CAITAN,66_kv,14.4
S/E BOMBEO 3 (SGO),S/E BOMBEO 2 (SGO),66_kv,28.0
S/E CAITAN,S/E DESALINIZADORA Y BOMBEO 1 (SGO),66_kv,11.8
S/E CAITAN,S/E KAPATUR,66_kv,0.1
S/E ESCONDIDA,S/E ESCONDIDA NORTE,66_kv,4.1
S/E LIXIVIACION,S/E BOOSTER,66_kv,2.4
S/E NEGRILLAR,S/E NEURARA,66_kv,23.4
S/E NEURARA,S/E ZALDIVAR,66_kv,60.3
S/E SULFUROS,S/E LIXIVIACION,66_kv,8.4
TAP OFF LA CRUZ,S/E SE021-A,66_kv,6.8
TAP OFF LLANOS,S/E AGUAS BLANCAS,66_kv,26.6
TAP OFF PALESTINA,S/E EL PENON (MINERA MERIDIAN),66_kv,62.9
S/E KIMAL,S/E ANTOFAGASTA,500_kv,174.4
S/E LOS CHANGOS,S/E CUMBRE,500_kv,346.4
S/E LOS CHANGOS,S/E KIMAL,500_kv,128.0
N ALGORTA-ALGORTA-CHACAYA,S/E CHACAYA,33_kv,8.4
N ALGORTA-ALGORTA-CHACAYA,S/E TAP OFF E-C ALGORTA,33_kv,11.8
S/E ANDES (AES GENER),S/E ANDES SOLAR II,33_kv,0.4
S/E CENTRAL PARQUE EOLICO TALTAL,S/E PORTAL GCM,33_kv,2.0
S/E PORTAL GCM,S/E GUANACO,33_kv,31.8
S/E TAP OFF E-B ALGORTA N-1,N ALGORTA-ALGORTA-CHACAYA,33_kv,2.3
S/E TAP OFF E-B ALGORTA N-2,S/E TAP OFF E-B ALGORTA N-1,33_kv,13.7
S/E CENTRAL DIESEL INACAL,S/E INACESA,23_kv,0.1
S/E CENTRAL DIESEL INACAL,TAP OFF LA NEGRA,23_kv,0.4
S/E MOLYCOP,S/E CHACAYA,23_kv,0.9
S/E PUERTO SECO SOLAR,S/E CALAMA NUEVA,23_kv,5.4
S/E ANDES (AES GENER),S/E SOL DE LILA,220_kv,0.9
S/E ANDES (AES GENER),S/E TAP OFF OESTE,220_kv,36.5
S/E ANDES SOLAR,S/E ANDES (AES GENER),220_kv,0.4
S/E ANGAMOS,S/E ESTACION DE BOMBEO SIERRA GORDA N-1,220_kv,5.2
S/E ATACAMA,S/E O-HIGGINS,220_kv,69.8
S/E CACHIYUYAL,S/E CENTRAL PAMPA NORTE,220_kv,11.8
