name,latitude,longitude,techs,energy_cap_max,demand_types,resource_files
S/E ARICA,-18.48585,-70.289129,substation,,power_demand,total_demand_2024
S/E SAUZAL,-34.251968,-70.631583,substation,,power_demand,total_demand_2024
S/E ANCOA,-35.681859,-71.377216,substation,,power_demand,total_demand_2024
S/E CENTRAL CIPRESES,-35.786387,-70.812439,substation,,power_demand,total_demand_2024
S/E CARRERA PINTO,-27.001929,-69.902689,substation,,power_demand,total_demand_2024
S/E CENTRAL RUCUE,-37.360811,-71.866828,substation,,power_demand,total_demand_2024
S/E MAULE,-35.499963,-71.530103,substation,,power_demand,total_demand_2024
S/E CENTRAL QUINTERO,-32.788182,-71.485198,substation,,power_demand,total_demand_2024
S/E CAUTIN,-38.722669,-72.541531,substation,,power_demand,total_demand_2024
S/E CENTRAL TOCOPILLA,-22.097875,-70.212003,substation,,power_demand,total_demand_2024
S/E HUALPEN,-36.788141,-73.121758,substation,,power_demand,total_demand_2024
TAP OFF EL NEGRO,-23.767419,-70.31883,substation,,power_demand,total_demand_2024
S/E DEGAN,-42.144778,-73.715055,substation,,power_demand,total_demand_2024
S/E MULCHEN,-37.681179,-72.253944,substation,,power_demand,total_demand_2024
S/E ANTOFAGASTA,-23.633756,-70.380029,substation,,power_demand,total_demand_2024
TAP OFF LA CRUZ,-22.278828,-69.659451,substation,,power_demand,total_demand_2024
S/E TARAPACA,-20.806502,-70.192117,substation,,power_demand,total_demand_2024
S/E SAN JAVIER,-35.588608,-71.711901,substation,,power_demand,total_demand_2024
TAP OFF BARRILES,-22.164529,-70.067496,substation,,power_demand,total_demand_2024
S/E PAPOSO,-24.988476,-70.464786,substation,,power_demand,total_demand_2024
S/E CHILOE,-42.14432,-73.714234,substation,,power_demand,total_demand_2024
S/E CIRUELOS,-39.54977,-72.912732,substation,,power_demand,total_demand_2024
S/E HUASCO,-28.470006,-71.252996,substation,,power_demand,total_demand_2024
S/E DUQUECO,-37.51769,-72.322185,substation,,power_demand,total_demand_2024
S/E CERRO NAVIA (TRANSELEC),-33.422529,-70.730083,substation,,power_demand,total_demand_2024
S/E SAN MIGUEL,-35.439185,-71.616544,substation,,power_demand,total_demand_2024
S/E FPC,-36.934677,-73.155341,substation,,power_demand,total_demand_2024
S/E CONSTITUCION,-35.363709,-72.402714,substation,,power_demand,total_demand_2024
S/E EL SALTO,-33.359118,-70.628611,substation,,power_demand,total_demand_2024
S/E DESALANT,-23.542907,-70.39862,substation,,power_demand,total_demand_2024
S/E CHOLGUAN (STS),-37.1648,-72.07404,substation,,power_demand,total_demand_2024
TAP OFF LA NEGRA,-23.78227,-70.324185,substation,,power_demand,total_demand_2024
S/E TAP OFF OESTE,-23.690449,-68.619646,substation,,power_demand,total_demand_2024
S/E EL LOA,-22.350573,-69.633408,substation,,power_demand,total_demand_2024
S/E SAN FRANCISCO DE MOSTAZAL,-33.981593,-70.701864,substation,,power_demand,total_demand_2024
S/E LAS VEGAS (CHILQUINTA),-32.843162,-71.012192,substation,,power_demand,total_demand_2024
S/E PUNTA PEUCO (CEMENTO POLPAICO),-33.118983,-70.827138,substation,,power_demand,total_demand_2024
S/E MAITENCILLO,-28.535683,-70.924213,substation,,power_demand,total_demand_2024
S/E SANTA ELVIRA,-36.596059,-72.098642,substation,,power_demand,total_demand_2024
S/E LA PORTADA,-23.535852,-70.385882,substation,,power_demand,total_demand_2024
S/E HORCONES,-37.211988,-73.215818,substation,,power_demand,total_demand_2024
S/E LAUTARO,-38.541361,-72.461295,substation,,power_demand,total_demand_2024
S/E PUENTE ALTO (CMPC),-33.60791,-70.557643,substation,,power_demand,total_demand_2024
S/E EL TESORO,-22.926592,-69.098398,substation,,power_demand,total_demand_2024
S/E ANGAMOS,-23.067895,-70.368875,substation,,power_demand,total_demand_2024
S/E MANTOS BLANCOS,-23.446156,-70.075688,substation,,power_demand,total_demand_2024
S/E MEJILLONES,-23.095244,-70.41921,substation,,power_demand,total_demand_2024
