from,to,distance_km,capacity_MW,voltage_kV,tech
Paris,Berlin,878,3000,400,hvdc_transmission
Paris,Madrid,1054,2500,400,hvdc_transmission
Paris,Brussels,264,2000,220,ac_transmission
Berlin,Warsaw,516,2000,400,hvdc_transmission
Berlin,Vienna,524,1800,220,ac_transmission
Madrid,Lisbon,502,1500,220,ac_transmission
Rome,Vienna,765,1200,400,hvdc_transmission
Amsterdam,Brussels,173,1800,220,ac_transmission
Amsterdam,Copenhagen,621,2200,400,hvdc_transmission
Brussels,Hub_Central,250,3000,220,ac_transmission
Hub_Central,Berlin,300,3000,220,ac_transmission
Hub_Central,Vienna,400,2500,220,ac_transmission
Copenhagen,Stockholm,522,1500,400,hvdc_transmission
Stockholm,Oslo,417,1200,220,ac_transmission
Oslo,Hub_North,350,1800,220,ac_transmission
Hub_North,Copenhagen,400,2000,220,ac_transmission
Paris,Hub_West,200,2500,220,ac_transmission
Hub_West,Madrid,600,2000,400,hvdc_transmission
